ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Casa señorial construida hacia la primera mitad del siglo XVIII. A finales del siglo XIX paso a ser propiedad del duque de San Fernando de Quiroga. Consta de dos plantas ordenadas en torno a un patio central ligeramente rectangular con ocho columnas toscanas muy interesantes, ya que todas ellas se levantan sobre pequeños plintos octogonales y cuatro de ellas tienen un peculiar capitel en forma de cubo. En el siglo XIX se colocó un solado de baldosa hidráulica. Extensión del solar 727 m2. según escritura y 834 según reciente medición. Se compone de 15 dormitorios, varios salones comedor, 4 cocinas, terraza, palomar y un amplio corral con entrada independiente que puede ser utlizado de cochera para varios vehículos. Situada en el centro del Conjunto Histórico Artístico de la monumental, conventual y aristocrática ciudad de Villanueva de los Infantes. Ciudad de gran interés turístico por su gran patrimonio arquitectónico y cultural. Recientemente un estudio de prestigiosos expertos consideran que fue el lugar elegido por Cervantes para ambientar su personaje más ilustre. Ciudad donde Quevedo tenía grandes amigos y pasaba largas temporadas. Y lugar de nacimiento de Santo Tomás de Villanueva. Ciudad con enorme cantidad de casas palacio, señoriales y nobiliarias. De gran importancia entre los siglos XVI y XVIII. Considerado uno de los pueblos más bonitos de España En la planta baja existen dos locales de negocio, aunque se puede ampliar uno más. Debido a su gran extensión y excelente ubicación es ideal para un negocio de hostelería, casa rural, hospedería o residencia. Pueden independizarse hasta cinco viviendas si interesara su arrendamiento. Como negocio se pueden explotar hasta tres locales comerciales muy bien situados y alquilar varias cocheras, las que están muy demandas por tener el centro de la ciudad muchas calles peatonales.",Anuncio actualizado el 9 de julio,0,1,5,0,1,segunda mano/para reformar,1700,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,25523182, Casa de pueblo,,,Villanueva de los Infantes,"Calle Quevedo, 18"," Calle Quevedo, 18 , Villanueva de los Infantes , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",770,1100,2019-04-12,sur,390000,0,9,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,28980361, Casa de pueblo,,,San Carlos del Valle,"Calle Cervantes, 28"," Calle Cervantes, 28 , San Carlos del Valle , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",182,,2019-04-12,,40000,0,4,0,0,0,
"vivienda amplia, bien situada, soleada, en calle céntrica, próxima a iglesia, comercios, centro de salud y parada de autobús. Distribiuda en dos plantas con cocina. baño, terraza y salón en ambas, siendo el de la planta baja amplio y confortable con chimenea. Suelos de terrazo y pintada recientemente. Muy bien conservada.",más de 5 meses sin actualizar,0,1,2,0,1,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,81620290, Casa de pueblo,,,Torre de Juan Abad,"Calle Calvario, 41"," Calle Calvario, 41 , Torre de Juan Abad , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",274,,2019-04-12,,95000,0,6,1,0,1,
"Casa de 200 m, 3 habitaciones, cocina, terraza, comedor con chimenea. OCASIÓN.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,,,,0,,,81926660, Casa o chalet independiente,,,Castellar de Santiago,"Calle del Gil, 15"," Calle del Gil, 15 , Castellar de Santiago , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",200,,2019-04-12,,33000,0,3,0,0,1,
Casa en venta con terreno bastante grande a reformar.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,,,0,,,82275911, Casa de pueblo,,,Carrizosa,"Calle Cerrete, 13"," Calle Cerrete, 13 , Carrizosa , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",230,,2019-04-12,norte,24000,0,4,0,0,0,
"Vivienda en calle mártires de carrizosa con 10 metros de fachada a dos alturas, precio rebajado, con algunos muebles.,2 dormitorios, 1 baño, salón y cocina.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/buen estado,,no indicado,1 planta,,0,,,33977108, Casa de pueblo,,,Carrizosa,"Calle mártires, 58"," Calle mártires, 58 , Carrizosa , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",273,,2019-04-12,,18000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,9,0,0,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,1,,,432749, Casa o chalet independiente,,,Almedina,Carretera Montiel Almedina s/n," Carretera Montiel Almedina s/n , Almedina , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",1500,,2019-04-12,,400000,0,7,0,0,0,
,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,3 plantas,,0,,,28187821, Casa o chalet independiente,,,Villanueva de los Infantes,"Calle Jara, 16"," Calle Jara, 16 , Villanueva de los Infantes , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",230,,2019-04-12,sur,45000,0,6,0,0,1,
,más de 5 meses sin actualizar,0,1,1,0,1,segunda mano/buen estado,,no indicado,1 planta,,0,,,82270445, Finca rústica,,,Castellar de Santiago,"Carretera CR-610, 3 km"," Carretera CR-610, 3 km , Castellar de Santiago , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",3385,,2019-04-12,,60000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,82502774, Chalet adosado,,,Almedina,"Calle Tahona, 31"," Calle Tahona, 31 , Almedina , Montiel, Ciudad Real ",,,"Montiel, Ciudad Real",160,,2019-04-12,,100000,0,6,0,0,0,
